datetime,open,high,low,close,volume
08-09-2026 03:30,66.182,66.317,66.175,66.293,583
08-09-2026 03:45,66.293,66.317,66.206,66.212,467
08-09-2026 04:00,66.212,66.244,66.195,66.231,543
08-09-2026 04:15,66.232,66.238,66.191,66.21,434
08-09-2026 04:30,66.206,66.291,66.203,66.227,600
08-09-2026 04:45,66.228,66.274,66.186,66.245,799
08-09-2026 05:00,66.245,66.649,66.244,66.647,1344
08-09-2026 05:15,66.647,66.67,66.473,66.538,1297
08-09-2026 05:30,66.547,66.56,66.331,66.351,1992
08-09-2026 05:45,66.352,66.683,66.294,66.383,1978
08-09-2026 06:00,66.387,66.473,66.328,66.401,1678
08-09-2026 06:15,66.402,66.742,66.287,66.675,1776
08-09-2026 06:30,66.676,66.87,66.404,66.805,2654
08-09-2026 06:45,66.806,67.007,66.746,66.945,2347
08-09-2026 07:00,66.944,66.988,66.788,66.834,2159
08-09-2026 07:15,66.834,67.06,66.833,66.913,2129
08-09-2026 07:30,66.92,66.964,66.658,66.711,1970
08-09-2026 07:45,66.71,66.728,66.602,66.627,1209
08-09-2026 08:00,66.627,66.735,66.568,66.725,2058
08-09-2026 08:15,66.723,66.741,66.547,66.645,1808
08-09-2026 08:30,66.644,66.782,66.606,66.748,1582
08-09-2026 08:45,66.747,67.155,66.73,66.877,2024
08-09-2026 09:00,66.879,67.025,66.839,66.893,1136
08-09-2026 09:15,66.894,66.998,66.889,66.981,1081
08-09-2026 09:30,66.982,67.107,66.968,67.002,1255
08-09-2026 09:45,67.002,67.022,66.908,66.925,1024
08-09-2026 10:00,66.929,66.978,66.92,66.968,1020
08-09-2026 10:15,66.968,67.079,66.95,67.017,907
08-09-2026 10:30,67.014,67.051,66.642,66.646,1405
08-09-2026 10:45,66.646,66.794,66.502,66.503,1568
08-09-2026 11:00,66.504,66.722,66.43,66.697,2232
08-09-2026 11:15,66.699,66.789,66.507,66.512,2231
08-09-2026 11:30,66.52,66.547,66.147,66.152,932
